Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Lou Barletta,Barletta,6,Republican,Pennsylvania,,District 11,House,,,"Economic Development, Public Buildings and Emergency Management",,,,
Lou Correa,Correa,0,Democratic,California,,District 46,House,,,,,,,
"Louis B. ""Louie"" Gohmert Jr.",Gohmert,12,Republican,Texas,,District 1,House,,,,,,,
Louise Slaughter,Slaughter,30,Democratic,New York,,District 25,House,,,,,,,
Lucille Roybal-Allard,Roybal-Allard,24,Democratic,California,,District 40,House,,,,,,,
Luis V. Gutierrez,Gutierrez,24,Democratic,Illinois,,District 4,House,,,,,,,
Luke Messer,Messer,4,Republican,Indiana,,District 6,House,Republican Policy Committee Chairman ,,,,,,
Lynn Jenkins,Jenkins,8,Republican,Kansas,,District 2,House,,,,,,,
Mac Thornberry,Thornberry,22,Republican,Texas,,District 13,House,,Armed Services,,,,,
Marc Veasey,Veasey,4,Democratic,Texas,,District 33,House,,,,,,,
Marcia L. Fudge,Fudge,8,Democratic,Ohio,,District 11,House,,,,,,,
Marcy Kaptur,Kaptur,34,Democratic,Ohio,,District 9,House,,,,,,,
Mario Diaz-Balart,Diaz-Balart,6,Republican,Florida,,District 25,House,,,"Transportation, Housing and Urban Development, and Related Agencies",,,,
Mark Amodei,Amodei,6,Republican,Nevada,,District 2,House,,,,,,,
Mark DeSaulnier,DeSaulnier,2,Democratic,California,,District 11,House,,,,,,,
Mark Meadows,Meadows,4,Republican,North Carolina,,District 11,House,,,Government Operations,,,,
Mark Pocan,Pocan,4,Democratic,Wisconsin,,District 2,House,,,,,,,
Mark Sanford,Sanford,4,Republican,South Carolina,,District 1,House,,,,,,,
Mark Takano,Takano,4,Democratic,California,,District 41,House,,,,,,,
Mark Walker,Walker,2,Republican,North Carolina,,District 6,House,,,,,,,
Markwayne Mullin,Mullin,4,Republican,Oklahoma,,District 2,House,,,,,,,
Marsha Blackburn,Blackburn,14,Republican,Tennessee,,District 7,House,,,Communications and Technology,,,,
Martha McSally,McSally,2,Republican,Arizona,,District 2,House,,,Border and Maritime Security,,,,
Martha Roby,Roby,6,Republican,Alabama,,District 2,House,,,,,,,
Matt Cartwright,Cartwright,4,Democratic,Pennsylvania,,District 17,House,,,,,,,
Matt Gaetz,Gaetz,0,Republican,Florida,,District 1,House,,,,,,,
Maxine Waters,Waters,26,Democratic,California,,District 43,House,,,,,,,
Mia Love,Love,2,Republican,Utah,,District 4,House,,,,,,,
Michael C. Burgess,Burgess,14,Republican,Texas,,District 26,House,,,Health,,,,
Michael Capuano,Capuano,18,Democratic,Massachusetts,,District 7,House,,,,,,,
Michael F. Doyle,Doyle,22,Democratic,Pennsylvania,,District 14,House,,,,,,,
Michael K. Simpson,Simpson,18,Republican,Idaho,,District 2,House,,,"Energy and Water Development, and Related Agencies",,,,
Michael McCaul,McCaul,12,Republican,Texas,,District 10,House,,Homeland Security,,,,,
Michael R. Turner,Turner,14,Republican,Ohio,,District 10,House,,,Tactical Air and Land Forces,,,,
Michelle Lujan Grisham,Lujan Grisham,4,Democratic,New Mexico,,District 1,House,,,,,,,
Mike Bishop,Bishop,2,Republican,Michigan,,District 8,House,,,,,,,
Mike Bost,Bost,2,Republican,Illinois,,District 12,House,,,,,,,
Mike Coffman,Coffman,8,Republican,Colorado,,District 6,House,,,Military Personnel,Oversight and Investigations,,,
Mike Conaway,Conaway,12,Republican,Texas,,District 11,House,,Agriculture,,,,,
Mike Gallagher,Gallagher,0,Republican,Wisconsin,,District 8,House,,,,,,,
Mike Johnson,Johnson,0,Republican,Louisiana,,District 4,House,,,,,,,
Mike Kelly,Kelly,6,Republican,Pennsylvania,,District 3,House,,,,,,,
Mike Quigley,Quigley,8,Democratic,Illinois,,District 5,House,,,,,,,
Mike Rogers,Rogers,14,Republican,Alabama,,District 3,House,,,Strategic Forces,,,,
Mike Thompson,Thompson,18,Democratic,California,,District 5,House,,,,,,,
Mimi Walters,Walters,2,Republican,California,,District 45,House,,,,,,,
Mo Brooks,Brooks,6,Republican,Alabama,,District 5,House,,,,,,,
Morgan Griffith,Griffith,6,Republican,Virginia,,District 9,House,,,,,,,
Nancy Pelosi,Pelosi,30,Democratic,California,,District 12,House,Democratic Leader ,,,,,,
Nanette Barragan,Barragan,0,Democratic,California,,District 44,House,,,,,,,
Neal Dunn,Dunn,0,Republican,Florida,,District 2,House,,,,,,,
Niki Tsongas,Tsongas,10,Democratic,Massachusetts,,District 3,House,,,,,,,
Nita Lowey,Lowey,28,Democratic,New York,,District 17,House,,,,,,,
Norma Torres,Torres,2,Democratic,California,,District 35,House,,,,,,,
Nydia Velazquez,Velazquez,24,Democratic,New York,,District 7,House,,,,,,,
Patrick J. Tiberi,Tiberi,17,Republican,Ohio,,District 12,House,,,Health,,,,
Patrick Meehan,Meehan,6,Republican,Pennsylvania,,District 7,House,,,,,,,
Patrick T. McHenry,McHenry,12,Republican,North Carolina,,District 10,House,,,,,,,
Paul Cook,Cook,4,Republican,California,,District 8,House,,,Western Hemisphere,,,,
Paul Gosar,Gosar,6,Republican,Arizona,,District 4,House,,,Energy and Mineral Resources,,,,
Paul Mitchell,Mitchell,0,Republican,Michigan,,District 10,House,,,,,,,
